TW,BARRIO,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,cloudCover,uvIndex,visibility,Accidente
2017-06-01 00:00:00,LaCandelaria,rain,0.5315,1.0,18.32,18.32,13.02,0.71,1.5,1.0,0.0,5.002,0.0
2017-06-01 01:00:00,LaCandelaria,rain,1.4622,1.0,17.51,17.51,11.91,0.7,0.0,1.0,0.0,6.004,0.0
2017-06-01 02:00:00,LaCandelaria,cloudy,0.0,0.0,17.51,17.51,11.91,0.7,0.45,1.0,0.0,10.003,0.0
2017-06-01 03:00:00,LaCandelaria,cloudy,0.0,0.0,17.51,17.51,11.91,0.7,0.9,1.0,0.0,8.998,0.0
2017-06-01 04:00:00,LaCandelaria,cloudy,0.0,0.0,16.96,16.96,11.36,0.7,0.9,1.0,0.0,6.004,0.0
2017-06-01 05:00:00,LaCandelaria,cloudy,0.0,0.0,17.51,17.51,11.91,0.7,1.5,1.0,0.0,6.004,0.0
2017-06-01 06:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,17.69,17.69,12.36,0.71,0.09,0.75,0.0,8.698,0.0
2017-06-01 07:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,18.13,18.13,12.79,0.71,0.63,0.73,1.0,7.765,0.0
2017-06-01 08:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,20.97,20.97,13.82,0.64,1.09,0.73,2.0,6.875,0.0
2017-06-01 09:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,21.97,21.97,14.29,0.62,1.09,0.73,4.0,9.058,0.0
2017-06-01 10:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,23.35,23.35,14.75,0.58,1.09,0.75,5.0,10.003,0.0
2017-06-01 11:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,24.95,24.95,14.59,0.53,1.58,0.73,6.0,10.003,0.0
2017-06-01 12:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,26.14,26.14,14.12,0.48,2.88,0.73,7.0,10.003,0.0
2017-06-01 13:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,27.92,27.92,14.21,0.43,3.66,0.44,8.0,10.003,0.0
2017-06-01 14:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,26.55,26.55,13.46,0.44,4.89,0.44,7.0,10.003,1.0
2017-06-01 15:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,27.42,27.42,12.95,0.41,3.55,0.44,4.0,10.003,0.0
2017-06-01 16:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,25.8,25.8,13.32,0.46,2.84,0.44,2.0,10.003,0.0
2017-06-01 17:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,24.35,24.35,12.99,0.49,3.92,0.44,1.0,10.003,0.0
2017-06-01 18:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,21.45,21.45,13.15,0.59,3.13,0.44,0.0,10.003,0.0
2017-06-01 19:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,20.75,20.75,14.24,0.66,3.13,0.44,0.0,10.003,0.0
2017-06-01 20:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.99,19.99,14.37,0.7,2.68,0.75,0.0,10.003,0.0
2017-06-01 21:00:00,LaCandelaria,rain,0.046,1.0,18.33,18.33,13.26,0.72,3.1,0.75,0.0,6.004,0.0
2017-06-01 22:00:00,LaCandelaria,rain,0.4646,1.0,18.07,18.07,12.47,0.7,0.9,0.75,0.0,6.994,0.0
2017-06-01 23:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,18.07,18.07,12.47,0.7,0.9,0.75,0.0,6.004,1.0
2017-06-02 00:00:00,LaCandelaria,rain,0.064,1.0,18.32,18.32,13.02,0.71,2.09,0.75,0.0,6.004,0.0
2017-06-02 01:00:00,LaCandelaria,rain,0.1068,1.0,17.76,17.76,12.47,0.71,0.9,0.75,0.0,8.998,0.0
2017-06-02 02:00:00,LaCandelaria,cloudy,0.0,0.0,17.76,17.76,12.47,0.71,2.09,1.0,0.0,10.003,0.0
2017-06-02 03:00:00,LaCandelaria,cloudy,0.0,0.0,17.21,17.21,11.91,0.71,1.79,1.0,0.0,10.003,0.0
2017-06-02 04:00:00,LaCandelaria,cloudy,0.0,0.0,17.21,17.21,11.91,0.71,0.0,1.0,0.0,10.003,0.0
2017-06-02 05:00:00,LaCandelaria,cloudy,0.0,0.0,16.96,16.96,11.36,0.7,0.45,1.0,0.0,6.994,0.0
2017-06-02 06:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,17.69,17.69,12.36,0.71,0.05,0.75,0.0,9.822,0.0
2017-06-02 07:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,19.44,19.44,13.85,0.7,1.43,0.73,1.0,9.763,0.0
2017-06-02 08:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,20.91,20.91,14.37,0.66,0.79,0.73,2.0,9.883,0.0
2017-06-02 09:00:00,LaCandelaria,clear-day,0.0,0.0,22.9,22.9,14.39,0.59,2.08,0.2,5.0,10.003,0.0
2017-06-02 10:00:00,LaCandelaria,clear-day,0.0,0.0,24.93,24.93,14.6,0.53,2.79,0.22,7.0,10.003,0.0
2017-06-02 11:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,26.3,26.3,14.21,0.47,3.82,0.46,8.0,10.003,0.0
2017-06-02 12:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,27.06,27.06,13.39,0.43,3.34,0.75,7.0,10.003,0.0
2017-06-02 13:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,28.36,28.36,14.87,0.44,3.2,0.75,6.0,10.003,1.0
2017-06-02 14:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,28.92,28.92,13.57,0.39,4.13,0.44,7.0,10.003,0.0
2017-06-02 15:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,28.22,28.22,14.24,0.42,3.2,0.44,4.0,10.003,1.0
2017-06-02 16:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,25.89,25.89,13.33,0.46,4.84,0.44,2.0,10.003,0.0
2017-06-02 17:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,24.87,24.87,13.86,0.5,3.27,0.44,1.0,10.003,0.0
2017-06-02 18:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,23.72,23.72,13.28,0.52,0.13,0.46,0.0,10.003,1.0
2017-06-02 19:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,20.73,20.73,12.99,0.61,0.49,0.46,0.0,10.003,0.0
2017-06-02 20:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.74,19.74,12.99,0.65,2.6,0.44,0.0,10.003,0.0
2017-06-02 21:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.18,19.18,13.58,0.7,1.5,0.44,0.0,10.003,0.0
2017-06-02 22:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.18,19.18,13.58,0.7,1.5,0.44,0.0,10.003,1.0
2017-06-02 23:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.18,19.18,13.58,0.7,1.5,0.75,0.0,10.003,0.0
2017-06-03 00:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,18.33,18.33,13.02,0.71,1.02,0.75,0.0,10.003,0.0
2017-06-03 01:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,18.63,18.63,13.58,0.72,1.02,0.75,0.0,10.003,0.0
2017-06-03 02:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,18.07,18.07,12.47,0.7,0.45,0.44,0.0,10.003,0.0
2017-06-03 03:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,17.33,17.33,11.91,0.71,1.5,0.44,0.0,10.003,0.0
2017-06-03 04:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,17.33,17.33,11.91,0.71,1.5,0.44,0.0,10.003,0.0
2017-06-03 05:00:00,LaCandelaria,clear-night,0.0,0.0,16.33,16.33,11.6,0.74,1.02,0.19,0.0,10.003,0.0
2017-06-03 06:00:00,LaCandelaria,clear-day,0.0,0.0,16.61,16.61,10.88,0.69,0.33,0.05,0.0,10.003,0.0
2017-06-03 07:00:00,LaCandelaria,clear-day,0.0,0.0,19.55,19.55,11.75,0.61,0.06,0.28,1.0,9.703,0.0
2017-06-03 08:00:00,LaCandelaria,clear-day,0.0,0.0,21.91,21.91,13.54,0.59,0.61,0.03,2.0,10.003,0.0
2017-06-03 09:00:00,LaCandelaria,clear-day,0.0,0.0,23.92,23.92,14.29,0.55,1.09,0.03,5.0,10.003,0.0
2017-06-03 10:00:00,LaCandelaria,clear-day,0.0,0.0,25.74,25.74,13.5,0.47,3.99,0.2,7.0,10.003,0.0
2017-06-03 11:00:00,LaCandelaria,clear-day,0.0,0.0,27.81,27.81,13.9,0.42,4.25,0.19,9.0,10.003,0.0
2017-06-03 12:00:00,LaCandelaria,clear-day,0.0,0.0,28.36,28.36,13.45,0.4,4.0,0.19,10.0,10.003,1.0
2017-06-03 13:00:00,LaCandelaria,clear-day,0.0,0.0,29.72,29.72,13.63,0.37,4.04,0.19,9.0,10.003,1.0
2017-06-03 14:00:00,LaCandelaria,clear-day,0.0,0.0,28.32,28.32,13.82,0.41,4.25,0.19,8.0,10.003,0.0
2017-06-03 15:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,27.94,27.94,13.03,0.4,4.84,0.42,4.0,10.003,0.0
2017-06-03 16:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,26.87,26.92,13.27,0.43,5.1,0.44,2.0,10.003,0.0
2017-06-03 17:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,25.08,25.08,13.65,0.49,3.93,0.44,1.0,10.003,0.0
2017-06-03 18:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,22.9,22.9,13.31,0.55,2.67,0.42,0.0,10.003,0.0
2017-06-03 19:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,21.38,21.38,14.02,0.63,3.26,0.44,0.0,10.003,0.0
2017-06-03 20:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.99,19.99,14.14,0.69,1.5,0.44,0.0,10.003,1.0
2017-06-03 21:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.74,19.74,14.14,0.7,1.5,0.44,0.0,10.003,0.0
2017-06-03 22:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.18,19.18,13.58,0.7,1.34,0.44,0.0,10.003,0.0
2017-06-03 23:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.18,19.18,13.58,0.7,1.34,0.44,0.0,10.003,0.0
2017-06-04 00:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.18,19.18,13.58,0.7,1.02,0.44,0.0,10.003,0.0
2017-06-04 01:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,18.88,18.88,13.26,0.7,1.02,0.44,0.0,10.003,0.0
2017-06-04 02:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,18.63,18.63,13.02,0.7,2.09,0.75,0.0,10.003,0.0
2017-06-04 03:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,18.32,18.32,12.87,0.71,1.34,0.75,0.0,10.003,0.0
2017-06-04 04:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,18.07,18.07,12.47,0.7,0.9,0.75,0.0,8.005,0.0
2017-06-04 05:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,18.07,18.07,12.47,0.7,1.79,0.75,0.0,10.003,0.0
2017-06-04 06:00:00,LaCandelaria,clear-day,0.0,0.0,18.13,18.13,12.55,0.7,0.0,0.03,0.0,10.003,0.0
2017-06-04 07:00:00,LaCandelaria,cloudy,0.0,0.0,19.0,19.0,12.77,0.67,0.25,0.88,1.0,10.003,0.0
2017-06-04 08:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,21.45,21.45,13.71,0.61,0.09,0.77,2.0,10.003,0.0
2017-06-04 09:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,22.92,22.92,13.65,0.56,0.79,0.77,4.0,10.003,0.0
2017-06-04 10:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,23.57,23.57,13.74,0.54,3.0,0.77,5.0,10.003,0.0
2017-06-04 11:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,25.3,25.3,14.08,0.5,3.13,0.77,6.0,10.003,0.0
2017-06-04 12:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,26.39,26.39,13.03,0.44,4.04,0.77,6.0,10.003,0.0
2017-06-04 13:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,27.25,27.25,12.91,0.41,2.99,0.77,6.0,10.003,0.0
2017-06-04 14:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,26.7,26.7,13.62,0.45,4.25,0.75,5.0,10.003,0.0
2017-06-04 15:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,26.86,26.86,12.91,0.42,4.25,0.75,4.0,10.003,0.0
2017-06-04 16:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,26.55,26.55,13.05,0.43,4.89,0.75,2.0,10.003,0.0
2017-06-04 17:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,24.73,24.73,13.41,0.49,4.63,0.73,1.0,10.003,0.0
2017-06-04 18:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,22.25,22.25,14.0,0.6,2.99,0.73,0.0,10.003,0.0
2017-06-04 19:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,21.17,21.17,14.14,0.64,3.13,0.73,0.0,10.003,0.0
2017-06-04 20:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.99,19.99,14.14,0.69,2.09,0.75,0.0,10.003,0.0
2017-06-04 21:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.43,19.43,13.58,0.69,2.09,0.75,0.0,10.003,0.0
2017-06-04 22:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.43,19.43,13.58,0.69,0.0,0.75,0.0,10.003,0.0
2017-06-04 23:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,19.43,19.43,13.58,0.69,2.09,0.75,0.0,8.005,0.0
2017-06-05 00:00:00,LaCandelaria,rain,0.0594,1.0,18.88,18.88,13.1,0.69,2.09,0.75,0.0,6.994,0.0
2017-06-05 01:00:00,LaCandelaria,rain,0.5063,1.0,18.88,18.88,13.1,0.69,0.0,1.0,0.0,10.003,0.0
2017-06-05 02:00:00,LaCandelaria,rain,0.6336,1.0,18.32,18.32,12.55,0.69,1.5,1.0,0.0,10.003,0.0
2017-06-05 03:00:00,LaCandelaria,rain,0.317,1.0,17.76,17.76,12.16,0.7,0.0,1.0,0.0,10.003,0.0
2017-06-05 04:00:00,LaCandelaria,cloudy,0.0,0.0,17.51,17.51,11.91,0.7,0.0,1.0,0.0,10.003,0.0
2017-06-05 05:00:00,LaCandelaria,partly-cloudy-night,0.0,0.0,17.51,17.51,11.91,0.7,0.0,0.75,0.0,10.003,0.0
2017-06-05 06:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,18.13,18.13,12.55,0.7,0.96,0.46,0.0,10.003,1.0
2017-06-05 07:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,18.57,18.57,12.98,0.7,1.33,0.75,1.0,9.763,1.0
2017-06-05 08:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,19.63,19.63,12.81,0.65,1.59,0.75,2.0,10.003,0.0
2017-06-05 09:00:00,LaCandelaria,partly-cloudy-day,0.0,0.0,22.9,22.9,13.22,0.54,1.38,0.75,4.0,10.003,0.0
2017-06-05 10:00:00,LaCandelaria,cloudy,0.0,0.0,24.96,24.96,12.16,0.45,2.06,0.98,4.0,10.003,0.0
2017-06-05 11:00:00,LaCandelaria,cloudy,0.0,0.0,26.45,26.45,12.42,0.42,3.36,0.98,5.0,10.003,1.0
