,lower_bound,upper_bound
apparentTemperature,0.06053066574390693,0.08740795145663027
temperature,0.061983575830104734,0.08549153243082644
humidity_mean,0.04626100014186882,0.06605943017824667
temperature_mean,0.04716274518792841,0.06315395153914154
apparentTemperature_mean,0.04797745027552504,0.06291883765047604
humidity,0.03885089618983306,0.05973598763111741
dewPoint_mean,0.042017506322689815,0.05579843459647324
dewPoint,0.03718594249177297,0.04804848372862952
windSpeed_mean,0.0372425797048158,0.04591401181940629
windSpeed,0.03390357161021146,0.044420990104945046
cloudCover_mean,0.03229588350370807,0.04241117454857171
uvIndex,0.021154778180032224,0.04043601638460013
icon_partly-cloudy-night,0.014746200000759956,0.03517336772235152
poblado_LaAguacatala,0.012533701331515486,0.03177766210389306
visibility_mean,0.022925747175703073,0.030736073332040197
cloudCover,0.017674009548832418,0.025590137293502936
dia_sem_6,0.008896899447017144,0.023987648379284042
precipIntensity_mean,0.01668408368068847,0.023016003752534788
visibility,0.013439247228808397,0.020166451060744512
poblado_ElCastillo,0.004758192303786282,0.017691254613105493
icon_partly-cloudy-day,0.006883612381999509,0.01685185082451654
poblado_VillaCarlota,0.004452028176863255,0.01631313573935737
poblado_Astorga,0.0035662273373630246,0.01497929186339865
precipIntensity,0.008709269930240515,0.01430922705812325
poblado_AltosdelPoblado,0.0031214353428901933,0.013855887281444886
precipProbability,0.007542538169788478,0.013769409887785872
hora_7,0.004550887148987133,0.013763096141025086
poblado_LosBalsosNo1,0.0024710675294108762,0.01374848020911763
poblado_ElDiamanteNo2,0.002960644458049973,0.013712044600018148
poblado_Manila,0.004431788340071059,0.013481820457597592
poblado_SantaMariadeLosÁngeles,0.002735269029787917,0.013060848213198561
poblado_Lalinde,0.0027534664079214123,0.012980782475885612
hora_3,0.002336371728455777,0.01278591051780227
hora_0,0.0025867921941675693,0.012589870374014003
hora_1,0.0021893023409279974,0.010219631993748025
dia_sem_4,0.004120850823751052,0.00975654331302828
dia_sem_5,0.004303883925778988,0.008940122154596365
hora_2,0.0017595364983132586,0.008463600079672746
poblado_ElPoblado,0.0033370043209410903,0.008181882285789168
poblado_SanLucas,0.0021330555590095028,0.008102322517929193
poblado_LasLomasNo2,0.0018029373837337272,0.007930267421784426
dia_sem_1,0.003813382730813039,0.0068318179832464535
dia_sem_2,0.0032014814344113237,0.0068301204630696315
poblado_BarrioColombia,0.002370477764643027,0.006477439798791338
poblado_LosBalsosNo2,0.002280554943588264,0.0064252875393492805
hora_19,0.0018982660593402992,0.006407589883256307
hora_4,0.0011065310733409863,0.006199389498695576
dia_sem_3,0.0032450746712304104,0.006125903770224312
dia_sem_0,0.0030501020342678844,0.005720867040113254
hora_17,0.00144424750197815,0.005264064427981193
hora_6,0.0019718825613375328,0.005067267886325489
icon_cloudy,0.0020907286655160455,0.004806884882323949
poblado_Castropol,0.0019579302994346447,0.004528712901460165
poblado_LaFlorida,0.001883681929546824,0.004438706249033654
hora_22,0.0016170356806954756,0.004396161285314962
poblado_PatioBonito,0.0017459759524392463,0.00436090933325107
poblado_LasLomasNo1,0.0014281050530940908,0.003993271925082673
poblado_Alejandria,0.0017713491390285645,0.0038877137130390923
icon_rain,0.001976065523639519,0.003796476187584601
poblado_LosNaranjos,0.0013587005727700473,0.003658690810832753
hora_23,0.0009604410571606669,0.0034535739376763924
hora_20,0.0011474700459355438,0.0033256949405283897
hora_21,0.001233321179744565,0.0033081935249363553
hora_18,0.0013249117077904402,0.0032754441713387077
hora_8,0.0010408048891616332,0.00318421491082742
poblado_ElTesoro,0.0013242693208571437,0.0031806568687871703
hora_16,0.0009470543741430556,0.0031119307988188363
hora_5,0.0010110765086448817,0.002943288541553823
hora_15,0.0010894190905678188,0.002839596311164463
hora_14,0.0010662052381351975,0.002750166630805851
hora_10,0.0009281427109361511,0.00273493427381441
hora_12,0.0009583394915883634,0.002639611849731673
hora_9,0.0009493274013274268,0.00260497532249898
icon_clear-day,0.0009295514810580979,0.002472208712274343
hora_11,0.0010167646243599562,0.002283482012991198
hora_13,0.0007694468775339213,0.001991981360300384
icon_clear-night,0.00013014483981389893,0.0010510293505081622
icon_fog,0.00016146966795400268,0.0010028310277028765
