Datetaken,Longitude,Latitude,City,year
2011-01-17 13:50:17,-74.02986999999999,4.696365,bogota,2011
2011-03-06 13:58:33,-74.02986999999999,4.696365,bogota,2011
2011-06-22 15:21:45,-74.071773,4.601827,bogota,2011
2011-06-29 11:54:14,-74.07212,4.601995,bogota,2011
2011-07-21 15:40:17,-74.071914,4.601905,bogota,2011
2011-05-07 14:29:11,-74.071678,4.60203,bogota,2011
2011-07-18 16:24:29,-74.07260500000001,4.599114,bogota,2011
2011-05-16 19:41:51,-74.080123,4.620571,bogota,2011
2011-09-25 15:29:23,-74.068472,4.61501,bogota,2011
2011-08-21 11:56:29,-74.04351700000001,4.673739,bogota,2011
2011-03-27 20:28:19,-74.05313000000001,4.667152,bogota,2011
2011-04-04 15:46:55,-74.05313000000001,4.667152,bogota,2011
2011-12-16 14:20:44,-74.05310300000001,4.666852,bogota,2011
2011-01-01 16:30:25,-74.05297,4.667038,bogota,2011
2011-03-30 10:40:21,-74.11779,4.65637,bogota,2011
2011-10-02 09:05:45,-74.11779,4.65637,bogota,2011
2011-02-14 11:27:15,-74.11779,4.65637,bogota,2011
2011-05-27 22:44:19,-74.11779,4.65637,bogota,2011
2011-10-23 11:54:23,-74.11779,4.65637,bogota,2011
2011-05-28 21:12:55,-74.11779,4.65637,bogota,2011
2011-04-13 10:43:21,-74.11779,4.65637,bogota,2011
2011-04-20 17:17:21,-74.11779,4.65637,bogota,2011
2011-07-31 15:19:49,-74.11779,4.65637,bogota,2011
2011-06-27 19:08:28,-74.11779,4.65637,bogota,2011
2011-12-10 13:04:31,-74.11779,4.65637,bogota,2011
2011-01-29 00:47:01,-74.11779,4.65637,bogota,2011
2011-02-28 11:46:13,-74.11779,4.65637,bogota,2011
2011-11-06 00:32:58,-74.11779,4.65637,bogota,2011
2011-03-25 18:52:11,-74.11779,4.65637,bogota,2011
2011-12-31 07:15:48,-74.11779,4.65637,bogota,2011
2011-12-03 23:07:32,-74.11779,4.65637,bogota,2011
2011-03-14 23:01:03,-74.11779,4.65637,bogota,2011
2011-03-02 22:09:08,-74.11779,4.65637,bogota,2011
2011-09-19 17:17:10,-74.11779,4.65637,bogota,2011
2011-09-27 09:43:55,-74.11779,4.65637,bogota,2011
2011-08-18 13:27:16,-74.11779,4.65637,bogota,2011
2011-08-15 21:12:08,-74.11779,4.65637,bogota,2011
2011-06-09 16:31:53,-74.11779,4.65637,bogota,2011
2011-02-16 07:56:21,-74.11779,4.65637,bogota,2011
2011-01-21 07:34:00,-74.11779,4.65637,bogota,2011
2011-10-14 11:07:23,-74.11779,4.65637,bogota,2011
2011-09-04 14:53:03,-74.11779,4.65637,bogota,2011
2011-12-19 16:23:35,-74.11779,4.65637,bogota,2011
2011-02-01 12:01:19,-74.11779,4.65637,bogota,2011
2011-12-21 19:17:13,-74.11779,4.65637,bogota,2011
2011-05-19 23:19:35,-74.11779,4.65637,bogota,2011
2011-05-04 09:01:55,-74.11779,4.65637,bogota,2011
2011-02-05 21:13:25,-74.11779,4.65637,bogota,2011
2011-08-17 21:18:31,-74.11779,4.65637,bogota,2011
2011-09-05 15:40:01,-74.11779,4.65637,bogota,2011
2011-08-23 17:11:10,-74.11779,4.65637,bogota,2011
2011-05-19 20:15:25,-74.11779,4.65637,bogota,2011
2011-07-01 02:45:08,-74.11779,4.65637,bogota,2011
2011-01-16 15:14:36,-74.11779,4.65637,bogota,2011
2011-04-11 11:50:30,-74.11779,4.65637,bogota,2011
2011-07-14 09:42:00,-74.11779,4.65637,bogota,2011
2011-05-16 09:35:42,-74.11779,4.65637,bogota,2011
2011-07-28 11:39:27,-74.11779,4.65637,bogota,2011
2011-06-29 15:22:03,-74.11779,4.65637,bogota,2011
2011-08-15 17:28:28,-74.11779,4.65637,bogota,2011
2011-04-02 19:02:14,-74.11779,4.65637,bogota,2011
2011-08-15 19:43:58,-74.11779,4.65637,bogota,2011
2011-12-25 15:04:07,-74.11779,4.65637,bogota,2011
2011-12-04 09:40:59,-74.11779,4.65637,bogota,2011
2011-06-27 06:01:53,-74.11779,4.65637,bogota,2011
2011-06-17 19:35:55,-74.11779,4.65637,bogota,2011
2011-12-23 16:28:45,-74.11779,4.65637,bogota,2011
2011-01-19 17:07:46,-74.11779,4.65637,bogota,2011
2011-06-27 14:52:30,-74.11779,4.65637,bogota,2011
2011-03-31 18:26:35,-74.11779,4.65637,bogota,2011
2011-06-21 08:46:40,-74.11779,4.65637,bogota,2011
2011-10-08 10:09:03,-74.11779,4.65637,bogota,2011
2011-12-05 11:54:53,-74.11779,4.65637,bogota,2011
2011-02-06 10:35:29,-74.11779,4.65637,bogota,2011
2011-07-08 11:03:58,-74.11779,4.65637,bogota,2011
2011-03-07 05:52:41,-74.11779,4.65637,bogota,2011
2011-01-11 19:13:37,-74.11779,4.65637,bogota,2011
2011-10-26 09:46:02,-74.11779,4.65637,bogota,2011
2011-09-13 13:01:41,-74.11779,4.65637,bogota,2011
2011-01-24 17:37:03,-74.11779,4.65637,bogota,2011
2011-05-29 12:41:06,-74.11779,4.65637,bogota,2011
2011-08-04 18:25:36,-74.11779,4.65637,bogota,2011
2011-04-11 15:41:30,-74.11779,4.65637,bogota,2011
2011-07-31 23:13:23,-74.11779,4.65637,bogota,2011
2011-08-05 12:28:15,-74.11779,4.65637,bogota,2011
